skill,alt_name
Google Cloud,GCP
AWS,Amazon Web Services
Express.js,ExpressJS
Express.js,Express
Node.js,NodeJS
Angular,Angular.js
Angular,AngularJS
Next.js,NextJS
Vue,Vue.js
Vue,VueJS
Powershell,Shell
Sklearn,sci-kit
Sklearn,scikit
Assembly,ASM
REST,RESTful
Game Development,Game Developer
Machine Learning/Artificial Intelligence,Artificial intelligence
Machine Learning/Artificial Intelligence,AI
Machine Learning/Artificial Intelligence,Machine Learning
Software Development,Software Engineering
Software Development,Software Engineer
Full-Stack Development,full-stack
Full-Stack Development,full stack
Back-End Development,backend
Back-End Development,back end
Back-End Development,back-end
Front-End Development,frontend
Front-End Development,front end
Front-End Development,front-end
Web Development,web design
Web Development,web developer
Game Development,game developer
Networking,network administration
Networking,network administrator
Cybersecurity,cyber security
Systems Administration,System administration
Systems Administration,system administrator
Systems Administration,systems administrator
Systems Engineering,system engineer
Systems Engineering,systems engineer
Database Administration,database administrator
Object-Oriented Programming,object-oriented
Object-Oriented Programming,object oriented
Object-Oriented Programming,object oriented programming
