skill_name,category
Python,Languages
Java,Languages
C++,Languages
R,Languages
C#,Languages
C,Languages
Visual Basic,Languages
Ruby,Languages
Swift,Languages
Golang,Languages
Perl,Languages
TypeScript,Web Development
MATLAB,Languages
Rust,Languages
Pascal,Languages
Fortran,Languages
PHP,Languages
Ada,Languages
Kotlin,Languages
COBOL,Languages
Prolog,Languages
Lisp,Languages
Haskell,Languages
Node.js,Frameworks
Angular,Frameworks
Express.js,Frameworks
Flask,Frameworks
Django,Frameworks
Rails,Frameworks
Laravel,Frameworks
React,Frameworks
Next.js,Frameworks
Svelte,Frameworks
Vue,Frameworks
SQL,Database Management
PostgreSQL,Database Management
NoSQL,Database Management
MongoDB,Database Management
MySQL,Database Management
Oracle,Database Management
SQLite,Database Management
MariaDB,Database Management
Redis,Database Management
Git,Tools
Docker,Tools
Google Cloud,Tools
Azure,Tools
AWS,Tools
Powershell,Tools
Scrum,Software Development
Agile,Software Development
Waterfall,Software Development
Lean,Software Development
Behavior-Driven,Software Development
Feature-Driven,Software Development
Extreme Programming,Software Development
Spiral,Software Development
Rapid Application Development,Software Development
DevOps,Software Development
Bash,Languages
Julia,Languages
Elm,Languages
Delphi,Languages
Localstack,Tools
VMWare,Tools
SOC,Tools
Splunk,Tools
SAS,Languages
HyperV,Tools
Atlassian,Tools
Kubernetes,Tools
Windows,Tools
Linux,Tools
Jenkins,Tools
Pytest,Tools
JUnit,Tools
Pytorch,Tools
Sklearn,Tools
Tensorflow,Tools
Pandas,Tools
Lua,Languages
Assembly,Languages
REST,Web Development
